"MASCARA","ANO","CODMUNIC","UF","SIGLA","MUNIC","DEP","LOC","CODFUNC","NOME_CUR","GRD_COD","AREA_COD","SUBAREAC","VEP111","VEP112","VEP113","VPE114","VEP115","VEP116","VEP117","VEP121","VEP122","VEP123","VEP124","VEP125","VEP126","VEP127","VEP118","VEP119","VEP128","VEP129","DEP131","DEP132","DEP133","DEP134","DEP135","DEP136","DEP137","NEP141","NEP142","NEP143","NEP144","NEP145","NEP146","NEP147","DEP138","DEP139","NEP148","NEP149"
22949892,2002,310803727701,Minas Gerais,MG,GOVERNADOR VALADARES,Particular,Urbana,Ativo,TÉCNICO EM ENFERMAGEM,D,D14,D1401,0,0,0,0,0,0,0,0,8,54,147,80,75,3,0,0,43,324,,,,,,,,,,,,,,,,,,
22957728,2002,310803571808,Minas Gerais,MG,VIRGINOPOLIS,Particular,Urbana,Ativo,TÉCNICO EM CONTABILIDADE,D,D13,D1302,0,0,0,0,0,0,0,0,0,6,5,1,1,0,0,0,4,9,,,,,,,,,,,5,4,5,2,,,3,13
22957728,2002,310803571808,Minas Gerais,MG,VIRGINOPOLIS,Particular,Urbana,Ativo,TÉCNICO EM ENFERMAGEM,D,D14,D1401,0,0,0,0,0,0,0,0,0,8,33,13,14,7,0,0,8,67,,,,,,,,,,1,15,5,3,3,,,6,21
22957730,2002,311005130606,Minas Gerais,MG,INCONFIDENTES,Federal,Urbana,Ativo,TÉCNICO EM AGRICULTURA,A,A01,A0101,0,61,24,14,0,0,0,0,0,0,0,0,0,0,96,3,0,0,,,,,,,,,,,,,,,,,,
22957730,2002,311005130606,Minas Gerais,MG,INCONFIDENTES,Federal,Urbana,Ativo,TÉCNICO EM AGRIMENSURA,A,A01,A0101,8,54,19,7,0,0,0,0,0,0,0,0,0,0,81,7,0,0,,,,,,,,,,,,,,,,,,
22957730,2002,311005130606,Minas Gerais,MG,INCONFIDENTES,Federal,Urbana,Ativo,TÉCNICO EM AGROINDÚSTRIA,A,A01,A0101,8,62,20,5,0,0,0,0,0,0,0,0,0,0,80,15,0,0,,,,,,,,,,,,,,,,,,
22957730,2002,311005130606,Minas Gerais,MG,INCONFIDENTES,Federal,Urbana,Ativo,TÉCNICO EM AGROPECUÁRIA,A,A01,A0101,0,137,53,35,0,1,0,0,0,0,0,0,0,0,215,11,0,0,,,,,,,,,,,,,,,,,,
22957730,2002,311005130606,Minas Gerais,MG,INCONFIDENTES,Federal,Urbana,Ativo,TÉCNICO EM PROCESSAMENTO DE DADOS,D,D12,D1201,20,145,42,8,0,0,0,0,0,0,0,0,0,0,145,70,0,0,,,,,,,,,,,,,,,,,,
22957730,2002,311005130606,Minas Gerais,MG,INCONFIDENTES,Federal,Urbana,Ativo,TÉCNICO EM ZOOTECNIA,A,A01,A0101,4,64,26,5,0,0,0,0,0,0,0,0,0,0,83,16,0,0,,,,,,,,,,,,,,,,,,
22965255,2002,311005632404,Minas Gerais,MG,ITAJUBA,Particular,Urbana,Ativo,TÉCNICO EM MECÂTRONICA,B,B03,B0307,0,0,7,15,3,1,0,0,0,16,100,26,10,1,24,2,148,5,,,,,,,,,,,,,,,,,,
22965255,2002,311005632404,Minas Gerais,MG,ITAJUBA,Particular,Urbana,Ativo,TÉCNICO EM SECRETRARIADO,D,D13,D1303,0,0,0,0,0,0,0,0,0,12,20,9,4,0,0,0,0,45,,,,,,,,,,,,,,,,,,
22965255,2002,311005632404,Minas Gerais,MG,ITAJUBA,Particular,Urbana,Ativo,TÉCNICO EM SEGURANÇA DO TRABALHO,D,D14,D1401,0,0,0,0,0,0,0,0,0,2,32,15,16,0,0,0,31,34,,,,,,,,,,,,,,,,,,
22962693,2002,311005252501,Minas Gerais,MG,POUSO ALEGRE,Particular,Urbana,Ativo,TECNICO EM ENFERMAGEM,D,D14,D1401,0,0,0,0,0,0,0,1,9,22,30,5,10,2,0,0,6,73,,,,,,,,,,,,,,,,,,
22962693,2002,311005252501,Minas Gerais,MG,POUSO ALEGRE,Particular,Urbana,Ativo,TECNICO EM INFORMATICA,D,D12,D1201,1,22,1,1,0,0,0,1,4,14,17,9,6,3,22,3,27,27,,,,,,,,,,,,,,,,,,
22969984,2002,311005359605,Minas Gerais,MG,SANTA RITA DO SAPUCAI,Particular,Urbana,Ativo,TECNICO EM ELETRONICA,B,B03,B0307,0,337,100,84,12,3,3,0,0,0,0,0,0,0,436,103,0,0,,,,,,,,,,,,,,,,,,
22969984,2002,311005359605,Minas Gerais,MG,SANTA RITA DO SAPUCAI,Particular,Urbana,Ativo,TECNICO EM TELECOMUNICAÇÕES,D,D11,D1101,0,0,0,0,0,0,0,0,0,39,145,37,11,5,0,0,199,38,,,,,,,,,,,,,,,,,,
22969985,2002,310200335209,Minas Gerais,MG,JANUARIA,Federal,Rural,Ativo,TECNICO EM ADMINISTRAÇAO,D,D13,D1301,0,0,0,0,0,0,0,0,1,9,22,9,10,3,0,0,25,29,,,,,,,,,,,,,,,,,,
22969985,2002,310200335209,Minas Gerais,MG,JANUARIA,Federal,Rural,Ativo,TECNICO EM AGROINDUSTRIA,B,B03,B0301,0,1,7,9,5,3,2,0,0,0,0,0,0,0,6,21,0,0,,,2,9,4,5,,,,,,,,,9,11,,
22969985,2002,310200335209,Minas Gerais,MG,JANUARIA,Federal,Rural,Ativo,TECNICO EM ENFERMAGEM,D,D14,D1401,0,0,0,0,0,0,0,0,7,15,23,10,3,2,0,0,17,43,,,,,,,,,,9,31,16,18,15,,,31,58
22969985,2002,310200335209,Minas Gerais,MG,JANUARIA,Federal,Rural,Ativo,TECNICO EM INFORMATICA,D,D12,D1201,0,0,0,0,0,0,0,0,10,18,18,7,5,2,0,0,45,15,,,,,,,,,,5,15,7,4,4,,,24,11
22969985,2002,310200335209,Minas Gerais,MG,JANUARIA,Federal,Rural,Ativo,TECNICO EM MEIO AMBIENTE,D,D19,D1901,0,0,7,14,7,1,1,0,0,0,0,0,0,0,10,20,0,0,,,,,,,,,,,,,,,,,,
22962695,2002,310200361106,Minas Gerais,MG,SAO FRANCISCO,Municipal,Urbana,Ativo,TECNCO DE CONTABILIDADE,D,D13,D1302,0,0,0,0,0,0,0,0,2,34,123,9,6,4,0,0,76,102,,,,,,,,,,,,,,,,,,
22965127,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Federal,Urbana,Ativo,Construção Civil,B,B06,B0601,0,35,34,19,3,2,0,0,5,14,21,9,8,4,50,43,41,20,,,,,,,,,,8,9,2,1,,,,10,10
22965127,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Federal,Urbana,Ativo,Desing,D,D20,D2002,0,1,5,3,1,1,3,,,,,,,,5,9,,,,,,,,,,,,8,9,2,1,,,,10,10
22965127,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Federal,Urbana,Ativo,Eletromecânica,B,B03,B0307,0,29,25,15,4,3,0,0,6,9,30,6,7,0,73,3,55,3,,,,,,,,,,8,9,2,1,,,,10,10
22965127,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Federal,Urbana,Ativo,Eletrotécnica,B,B03,B0307,0,36,39,15,4,1,0,0,8,7,12,3,0,0,80,15,29,1,,,,,,,,,,8,9,2,1,,,,10,10
22965127,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Federal,Urbana,Ativo,Informática Industrial,D,D12,D1201,0,38,31,9,1,0,0,0,18,21,34,6,1,1,47,32,65,16,,,,,,,,,,8,9,2,1,,,,10,10
22965127,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Federal,Urbana,Ativo,Mecânica,B,B03,B0306,0,15,42,19,2,2,0,0,6,12,19,6,2,0,72,8,43,2,,,,,,,,,,8,9,2,1,,,,10,10
22965127,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Federal,Urbana,Ativo,Metalurgica,B,B03,B0306,0,24,39,14,1,0,1,0,6,13,32,8,1,0,34,45,38,22,,,,,,,,,,8,9,2,1,,,,10,10
22965127,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Federal,Urbana,Ativo,Transações Imobiliárias,C,C08,C0804,0,0,0,0,0,0,0,0,10,7,13,7,4,6,0,0,21,26,,,,,,,,,,8,9,2,1,,,,10,10
22965127,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Federal,Urbana,Ativo,Transporte e Trânsito,D,D10,D1001,0,0,0,0,0,0,0,0,5,4,16,4,11,10,0,0,25,25,,,,,,,,,,8,9,2,1,,,,10,10
22965127,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Federal,Urbana,Ativo,Turismo,D,D09,D0902,0,34,20,8,3,1,0,0,3,11,15,2,3,6,22,44,16,24,,,,,,,,,,8,9,2,1,,,,10,10
22962697,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Estadual,Urbana,Ativo,TECNICO EM LEITE E DERIVADOS,B,B03,B0301,0,62,50,48,11,4,0,0,0,0,0,0,0,0,102,73,0,0,,,,,,,,,,,,,,,,,,
22984087,2002,311005507505,Minas Gerais,MG,BOM JARDIM DE MINAS,Municipal,Urbana,Ativo,Técnico em Contabilidade,D,D13,D1302,0,0,0,0,0,0,0,0,0,3,16,2,1,0,0,0,9,13,,,,,,,,,,,,,,,,,,
22984087,2002,311005507505,Minas Gerais,MG,BOM JARDIM DE MINAS,Municipal,Urbana,Ativo,Técnico em Enfermagem,D,D14,D1401,0,0,0,0,0,0,0,0,1,8,33,16,10,4,0,0,17,55,,,,,,,,,,,,,,,,,,
22982507,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TECNICO EM ADMINISTRAÇÃO,D,D13,D1301,,,,,,,,,,1,10,3,1,,,,5,10,,,,,,,,,,,8,1,1,,,,4,6
22982507,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TECNICO EM CONTABILIDADE,D,D13,D1303,,,,,,,,,,3,10,3,1,1,,,2,16,,,,,,,,,,1,6,1,4,1,,,4,9
22982507,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TECNICO EM PUBLICIDADE,D,D15,D1503,,,,,,,,,,3,6,,1,,,,3,7,,,,,,,,,,,,,,,,,,
22982507,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TECNICO EM TURISMO,D,D09,D0902,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,5,1,1,,,5,16
22982520,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TÉCNICO EM ADMINISTRAÇÃO,D,D13,D1301,0,0,0,0,0,0,0,0,0,7,26,4,6,6,0,0,20,29,,,,,,,,,,,,,,,,,,
22982520,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TÉCNICO EM CONTABILIDADE,D,D13,D1302,0,0,0,0,0,0,0,0,0,5,18,7,10,7,0,0,15,32,,,,,,,,,,,,,,,,,,
22977589,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TÉCNICO EM ADMINISTRAÇÃO,D,D13,D1301,0,0,0,0,0,0,0,0,0,8,23,6,3,0,0,0,12,28,,,,,,,,,,,12,8,4,6,,,22,8
22977589,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TÉCNICO EM CONTABILIDADE,D,D13,D1302,0,0,0,0,0,0,0,0,0,6,13,2,6,2,0,0,10,19,,,,,,,,,,,12,8,4,6,,,22,8
22977589,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TÉCNICO EM ELETRÔNICA,B,B03,B0307,0,0,0,0,0,0,0,0,0,16,29,11,9,6,0,0,71,0,,,,,,,,,,,12,8,4,6,,,22,8
22977589,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TÉCNICO EM ENFERMAGEM,D,D14,D1401,0,0,0,0,0,0,0,0,0,35,115,60,35,12,0,0,50,207,,,,,,,,,,,12,8,4,6,,,22,8
22977589,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TÉCNICO EM INFORMÁTICA,D,D12,D1201,0,0,44,27,4,1,1,0,1,47,75,10,7,6,45,32,82,64,,,,,,,,,,,12,8,4,6,,,22,8
22977589,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TÉCNICO EM QUÍMICA,B,B05,B0502,0,0,0,0,0,0,0,0,0,6,23,13,6,4,0,0,31,21,,,,,,,,,,,12,8,4,6,,,22,8
22977589,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,TÉCNICO EM SEGURANÇA DO TRABALHO,D,D14,D1401,0,0,0,0,0,0,0,0,0,8,17,14,17,4,0,0,48,12,,,,,,,,,,,12,8,4,6,,,22,8
22976175,2002,311206536702,Minas Gerais,MG,JUIZ DE FORA,Particular,Urbana,Ativo,Técnico Adm. com Formação Gerencial,D,D13,D1301,0,42,7,0,0,0,0,0,0,0,0,0,0,0,29,20,0,0,,,,,,,,,,,,,,,,,,
22977597,2002,311206560702,Minas Gerais,MG,SANTOS DUMONT,Particular,Urbana,Ativo,Técnico em Proc. de Dados,D,D12,D1201,0,0,0,0,0,0,0,0,10,28,23,4,7,0,0,0,36,36,,,,,,,,,,,,,,,,,,
22977605,2002,310200743302,Minas Gerais,MG,MONTES CLAROS,Federal,Urbana,Ativo,TECNICO EM AGROPECUARIA,A,A01,A0101,0,37,16,17,3,3,0,0,0,0,0,0,0,0,58,18,0,0,,,,,,,,,,,,,,,,,,
23000993,2002,310200743302,Minas Gerais,MG,MONTES CLAROS,Particular,Urbana,Ativo,QUÍMICA,B,B05,B0502,0,0,0,0,0,0,0,0,0,37,3,1,0,0,0,0,15,26,,,,,,,,,,,,,,,,,,
23000993,2002,310200743302,Minas Gerais,MG,MONTES CLAROS,Particular,Urbana,Ativo,TÉCNICO EM AUTOMAÇÃO INDUSTRIAL,B,B03,B0306,0,0,0,0,0,0,0,0,0,33,6,0,0,0,0,0,33,6,,,,,,,,,,,,,,,,,,
23000993,2002,310200743302,Minas Gerais,MG,MONTES CLAROS,Particular,Urbana,Ativo,TÉCNICO EM ELETROMECÂNICA,B,B03,B0306,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,33,0,,,,,,,,,,,,,,,,,,
23000993,2002,310200743302,Minas Gerais,MG,MONTES CLAROS,Particular,Urbana,Ativo,TÉCNICO EM ELETRÔNICA,B,B03,B0307,0,0,0,0,0,0,0,0,0,30,11,0,0,0,0,0,34,7,,,,,,,,,,,,,,,,,,
23000993,2002,310200743302,Minas Gerais,MG,MONTES CLAROS,Particular,Urbana,Ativo,TÉCNICO EM INFORMÁTICA,D,D12,D1201,0,0,0,0,0,0,0,0,0,44,4,0,0,0,0,0,25,23,,,,,,,,,,,,,,,,,,
23003016,2002,310200651206,Minas Gerais,MG,PIRAPORA,Particular,Urbana,Ativo,TECNICO EM ADMINISTRAÇÃO,D,D13,D1301,0,0,0,0,0,0,0,0,0,12,33,14,6,3,0,0,22,46,,,,,,,,,,,23,7,6,5,,,15,26
23003016,2002,310200651206,Minas Gerais,MG,PIRAPORA,Particular,Urbana,Ativo,TECNICO EM AUTOMAÇÃO INDUSTRIAL,B,B03,B0307,0,0,0,0,0,0,0,0,0,3,20,4,8,2,0,0,37,0,,,,,,,,,,,,,,,,,,
23003016,2002,310200651206,Minas Gerais,MG,PIRAPORA,Particular,Urbana,Ativo,TECNICO EM ELETROMECANICA,B,B03,B0306,0,0,0,0,0,0,0,0,2,11,63,23,8,0,0,0,107,0,,,,,,,,,,,33,15,10,1,,,59,
23003016,2002,310200651206,Minas Gerais,MG,PIRAPORA,Particular,Urbana,Ativo,TECNICO EM ELETROTÉCNICA,B,B03,B0307,0,0,0,0,0,0,0,0,2,9,15,6,4,0,0,0,34,2,,,,,,,,,,,,,,,,,,
23003016,2002,310200651206,Minas Gerais,MG,PIRAPORA,Particular,Urbana,Ativo,TECNICO EM QUIMICA,B,B05,B0502,0,0,0,0,0,0,0,0,4,25,33,10,7,0,0,0,33,46,,,,,,,,,,2,18,2,1,1,,,7,17
23003016,2002,310200651206,Minas Gerais,MG,PIRAPORA,Particular,Urbana,Ativo,TÉCNICO EM SEGURANÇA DO TRABALHO,D,D14,D1401,0,0,0,0,0,0,0,0,0,1,14,8,3,2,0,0,16,12,,,,,,,,,,,,,,,,,,
23008678,2002,311206601508,Minas Gerais,MG,ALEM PARAIBA,Particular,Urbana,Ativo,TÉCNICO EM ADMINISTRAÇÃO,D,D13,D1301,0,0,0,0,0,0,0,0,0,5,26,4,6,0,0,0,15,26,,,,,,,,,,,20,7,5,3,,,16,19
23011735,2002,311206615300,Minas Gerais,MG,CATAGUASES,Particular,Urbana,Ativo,TÉCNICO EM ADMINISTRAÇÃO,D,D13,D1301,0,0,0,0,0,0,0,0,0,3,4,0,2,1,0,0,2,8,,,,,,,,,,,,,,,,,,
23011735,2002,311206615300,Minas Gerais,MG,CATAGUASES,Particular,Urbana,Ativo,TÉCNICO EM PATOLOGIA CLÍNICA,D,D14,D1401,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,2,8,,,,,,,,,,,,,,,,,,
23008681,2002,311206638401,Minas Gerais,MG,LEOPOLDINA,Particular,Urbana,Ativo,TÉCNICO EM ADMINISTRAÇÃO,D,D13,D1301,0,0,0,0,0,0,0,0,7,12,37,4,6,2,0,0,29,39,,,,,,,,,,,,,,,,,,
23008681,2002,311206638401,Minas Gerais,MG,LEOPOLDINA,Particular,Urbana,Ativo,TÉCNICO EM LEITE E DERIVADOS (LATICÍNIOS,B,B03,B0301,0,0,0,0,0,0,0,0,0,5,21,4,4,0,0,0,20,14,,,,,,,,,,,,,,,,,,
23013846,2002,310703136207,Minas Gerais,MG,JOAO MONLEVADE,Municipal,Urbana,Ativo,TÉCNICO EM QUÍMICA,B,B05,B0502,0,0,0,0,0,0,0,0,0,16,69,5,6,0,0,0,34,62,,,,,,,,,,,32,9,10,5,,,22,34
23008685,2002,310703131703,Minas Gerais,MG,ITABIRA,Particular,Urbana,Ativo,TÉCNICO EM ELETRÔNICA,B,B03,B0307,0,0,0,0,0,0,0,0,0,11,36,12,7,2,0,0,65,3,,,,,,,,,,,13,6,5,2,,,26,
23008685,2002,310703131703,Minas Gerais,MG,ITABIRA,Particular,Urbana,Ativo,TÉCNICO EM INFORMÁTICA INDUSTRIAL,D,D12,D1201,0,0,0,0,0,0,0,0,0,16,48,11,6,3,0,0,43,41,,,,,,,,,,,20,5,,,,,18,7
23008685,2002,310703131703,Minas Gerais,MG,ITABIRA,Particular,Urbana,Ativo,TÉCNICO EM MECÂNICA,B,B03,B0306,0,0,0,0,0,0,0,1,0,5,74,22,23,6,0,0,128,3,,,,,,,,,,,14,5,6,2,,,27,
23008685,2002,310703131703,Minas Gerais,MG,ITABIRA,Particular,Urbana,Ativo,TÉCNICO EM MINERAÇÃO,B,B04,B0401,0,0,0,0,0,0,0,0,0,2,26,44,77,24,0,0,157,16,,,,,,,,,,,7,16,48,17,,,82,6
23008685,2002,310703131703,Minas Gerais,MG,ITABIRA,Particular,Urbana,Ativo,TÉCNICO EM SEGURANÇA DO TRABALHO,D,D14,D1401,0,0,0,0,0,0,0,0,0,2,31,18,22,5,0,0,48,30,,,,,,,,,,,13,7,11,5,,,27,9
23008686,2002,310703131703,Minas Gerais,MG,ITABIRA,Particular,Urbana,Ativo,TÉCNICO EM INFORMÁTICA,D,D12,D1201,0,0,0,0,0,0,0,0,0,15,15,1,6,0,0,0,11,26,,,,,,,,,,,,,,,,,,
23006344,2002,310703136207,Minas Gerais,MG,JOAO MONLEVADE,Particular,Urbana,Ativo,TECNICO EM MICROINFORMATICA,D,D12,D1201,,,,,,,,,6,21,28,14,3,,,,53,19,,,,,,,,,,,,,,,,,,
23008687,2002,310703136207,Minas Gerais,MG,JOAO MONLEVADE,Particular,Urbana,Ativo,ELETRÔNICA,B,B03,B0307,0,0,0,0,0,0,0,0,15,11,20,7,5,5,0,0,62,1,,,,,,,,,,,,,,,,,,
23008687,2002,310703136207,Minas Gerais,MG,JOAO MONLEVADE,Particular,Urbana,Ativo,INFORMÁTICA (ÊNFASE EM MICROINFORMÁTICA),D,D12,D1201,0,0,0,0,0,0,0,0,23,19,32,4,3,0,0,0,62,19,,,,,,,,,,,,,,,,,,
23008687,2002,310703136207,Minas Gerais,MG,JOAO MONLEVADE,Particular,Urbana,Ativo,INFORMÁTICA (ÊNFASE EM PROC. DE DADOS),D,D12,D1201,0,0,0,0,0,0,0,0,5,5,7,0,0,0,0,0,10,7,,,,,,,,,,,,,,,,,,
23011752,2002,310703144706,Minas Gerais,MG,NOVA ERA,Particular,Urbana,Ativo,ENFERMAGEM,D,D14,D1401,0,0,0,0,0,0,0,0,1,4,21,6,7,6,0,0,5,40,,,,,,,,,,,,,,,,,,
23011752,2002,310703144706,Minas Gerais,MG,NOVA ERA,Particular,Urbana,Ativo,INFORMÁTICA EMPRESARIAL,D,D12,D1201,0,0,0,0,0,0,0,0,19,12,21,3,5,0,0,0,37,23,,,,,,,,,,,,,,,,,,
23011752,2002,310703144706,Minas Gerais,MG,NOVA ERA,Particular,Urbana,Ativo,MICROINFORMÁTICA,D,D12,D1201,0,0,0,0,0,0,0,0,2,10,10,2,1,0,0,0,13,12,,,,,,,,,,,,,,,,,,
23023569,2002,311004762948,Minas Gerais,MG,SAO JOSE DA BARRA,Estadual,Rural,Ativo,TECNICO EM ELETROTECNICA,B,B03,B0307,0,0,0,0,0,0,0,0,21,90,65,10,13,2,0,0,160,41,,,,,,,,,,30,76,11,2,3,,,83,39
23031287,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Estadual,Urbana,Ativo,TECNICO EM ALIMENTOS,B,B03,B0301,,,,,,,,,,12,18,10,10,1,,,26,25,,,,,,,,,,,,,,,,,,
23031287,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Estadual,Urbana,Ativo,TECNICO EM ENFERMAGEM,D,D14,D1401,,,,,,,,,,12,20,9,9,4,,,11,43,,,,,,,,,,,,,,,,,,
23030862,2002,311005110301,Minas Gerais,MG,CALDAS,Municipal,Urbana,Ativo,TECNICO EM CONTABILIDADE,D,D13,D1302,,,,,,,,,5,17,10,,,,,,2,30,,,,,,,,,,8,17,2,1,1,,,7,22
23032217,2002,311004844102,Minas Gerais,MG,MUZAMBINHO,Municipal,Urbana,Ativo,TECNICO EM ADMINISTRAÇÃO,D,D13,D1301,,,,,,,,,3,17,39,6,4,3,,,29,43,,,,,,,,,,,20,2,2,,,,11,13
23032217,2002,311004844102,Minas Gerais,MG,MUZAMBINHO,Municipal,Urbana,Ativo,TECNICO EM CONTABILIDADE,D,D13,D1302,,,,,,,,,9,13,38,7,6,3,,,23,53,,,,,,,,,,4,13,1,1,,,,4,15
23032218,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Municipal,Urbana,Ativo,TECNICO EM CONTABILIDADE,D,D13,D1302,,,,,,,,,,19,41,14,8,2,,,20,64,,,,,,,,,,,19,4,7,3,,,25,8
23032218,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Municipal,Urbana,Ativo,TECNICO EM EDIFICAÇÃO,B,B06,B0601,,,,,,,,,,18,38,11,10,1,,,60,18,,,,,,,,,,2,40,6,7,4,,,15,44
23026673,2002,311005102605,Minas Gerais,MG,ANDRADAS,Particular,Urbana,Ativo,TECNICI EM CONTABILIDADE,D,D13,D1302,,,,,,,,,,,4,,1,,,,1,4,,,,,,,,,,1,9,1,1,,,,4,8
23026675,2002,311005111002,Minas Gerais,MG,CAMPESTRE,Municipal,Urbana,Ativo,TECNICO EM CONTABILIDADE,D,D13,D1302,,,,,,,,,7,17,19,7,2,2,,,14,40,,,,,,,,,1,8,17,11,3,,,,10,30
23026675,2002,311005111002,Minas Gerais,MG,CAMPESTRE,Municipal,Urbana,Ativo,TECNICO EM INFORMATICA,D,D12,D1201,,,,,,,,,8,10,36,25,11,4,,,55,39,,,,,,,,,6,7,28,16,12,4,,,43,30
23026678,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Particular,Urbana,Ativo,TECNICO EM INTERMEDIAÇÃO FINANCEIRA,D,D13,D1305,,,,,,,,,,5,7,4,3,3,,,11,11,,,,,,,,,,,,,,,,,,
23029767,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Particular,Urbana,Ativo,TECNICO EM ELETROTECNICA,B,B03,B0307,,2,6,30,13,10,,,,,,,,,61,,,,,,,,,,,,,1,9,7,2,2,,,21,
23029767,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Particular,Urbana,Ativo,TECNICO EM ENFERMAGEM,D,D14,D1401,,,17,28,9,5,5,,,,9,5,14,13,5,59,2,39,,,,,,,,,,,,,,,,,,
23029767,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Particular,Urbana,Ativo,TECNICO EM MECANICA,B,B03,B0306,,,6,15,16,12,3,,,,,,,,52,,,,,,4,2,4,1,,,,,,,,,11,,,
23029767,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Particular,Urbana,Ativo,TECNICO EM MICROINFORMATICA,D,D12,D1201,,2,23,21,4,1,,,,,,,,,17,34,,,,,,,,,,,,5,4,1,1,,,,3,8
23024393,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Particular,Urbana,Ativo,TECNICO EM ELETRONICA,B,B03,B0307,,,,,,,,,,8,9,4,1,2,,,23,1,,,,,,,,,,,,,,,,,,
23024393,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Particular,Urbana,Ativo,TECNICO EM MICROINFORMATICA,D,D12,D1201,,,,,,,,,,,6,,,,,,5,1,,,,,,,,,,,,,,,,,,
23024393,2002,311005151800,Minas Gerais,MG,POCOS DE CALDAS,Particular,Urbana,Ativo,TECNICO EM QUIMICA,B,B05,B0502,,,,,,,,,,2,20,18,3,1,,,29,15,,,,,,,,,,,,,,,,,,
23031323,2002,310703102308,Minas Gerais,MG,ALVINOPOLIS,Estadual,Urbana,Ativo,TECNICO EM CONTABILIDADE,D,D13,D1302,0,0,0,0,0,0,0,0,3,34,76,12,9,1,0,0,56,79,,,,,,,,,,3,47,23,11,4,,,35,53
23031172,2002,311206054002,Minas Gerais,MG,RAUL SOARES,Estadual,Urbana,Ativo,TECNICO EM AGROPECUARIA,A,A01,A0101,0,0,0,0,0,0,0,0,0,4,19,9,10,6,0,0,38,10,,,,,,,,,,,,,,,,,,
23034304,2002,311105862500,Minas Gerais,MG,SAO JOAO DEL REI,Particular,Urbana,Ativo,NUTRICAO DIETETICA,D,D14,D1401,,,,,,,,,,11,40,10,9,1,,,3,68,,,,,,,,,,,,,,,,,,
23040668,2002,311004864704,Minas Gerais,MG,SAO SEBASTIAO DO PARAISO,Estadual,Urbana,Ativo,TÉCNICO EM CONTABILIDADE E INFORMÁTICA,D,D13,D1302,0,0,0,0,0,0,0,0,0,61,86,19,5,1,0,0,69,103,,,,,,,,,,,,,,,,,,
23040668,2002,311004864704,Minas Gerais,MG,SAO SEBASTIAO DO PARAISO,Estadual,Urbana,Ativo,TÉCNICO EM TURISMO E HOSPITALIDADE,D,D09,D0902,0,0,0,0,0,0,0,0,0,19,45,19,4,0,0,0,42,45,,,,,,,,,,,,,,,,,,
23040728,2002,311004864704,Minas Gerais,MG,SAO SEBASTIAO DO PARAISO,Estadual,Urbana,Ativo,INFORMÁTICA,D,D12,D1201,0,0,0,0,0,0,0,0,0,10,23,3,4,2,0,0,18,24,,,,,,,,,,,,,,,,,,
